addressLine1,city,state,zipCode,county,latitude,longitude,zoning,subdivision,location_id
6451 Oxford Ave,Philadelphia,PA,19111,Philadelphia,40.046933,-75.087511,Unknown,Not available,1
6615 Blendon Ave NW,Canton,OH,44718,Stark,40.876754,-81.452958,Unknown,BLENDON RIDGE,2
162 Quincy St,Manistee,MI,49660,Manistee,44.256137,-86.321086,Unknown,Not available,3
84 Thacher St,Hornell,NY,14843,Steuben,42.330193,-77.666211,Unknown,Not available,4
4315 Thistlewood Ter,Burtonsville,MD,20866,Montgomery,39.100615,-76.920849,R200,SADDLE CREEK,5
80 Buckland St,Palmer,MA,1069,Hampden,42.16486,-72.333231,TR,Not available,6
1939 Goldsmith Ln,Louisville,KY,40218,Jefferson,38.202567,-85.681007,Unknown,Not available,7
4005 Moorpark Ct,Sun Valley,NV,89433,Washoe,39.565316,-119.779234,Unknown,Not available,8
7825 W Maui Ln,Peoria,AZ,85381,Maricopa,33.621538,-112.226747,R-10,TIERRA NORTE 3,9
9314 Canyon Rd E,Puyallup,WA,98371,Pierce,47.172727,-122.361063,Unknown,Not available,10
1198 Columbia Rd,Berkley,MI,48072,Oakland,42.490992,-83.167142,RI,PERRY-MORTENSON CO'S ROYAL GARDENS SUB,11
10020 Desert Azure St,Las Vegas,NV,89178,Clark,36.006557,-115.298605,Unknown,FORT APACHE & MOUNTAINS EDGE PHASE 1,12
4701 Roxie St,Haltom City,TX,76117,Tarrant,32.820849,-97.280537,Unknown,WEST BROWNING ADDITION,13
82 Ayers Ct,Teaneck,NJ,7666,Bergen,40.901138,-74.002313,Unknown,Not available,14
530 E Joanne Ct,Spokane,WA,99218,Spokane,47.739586,-117.401415,Unknown,NORTHPOINTE COMMONS,15
85 Henlopen Gdns,Lewes,DE,19958,Sussex,38.758884,-75.148653,Unknown,Not available,16
106 4th Ave SW,Pacific,WA,98047,King,47.263631,-122.250931,RS 6,HILLMANS CD PACIFIC CITY DIV NO 01,17
6363 Clarice Ave,Las Vegas,NV,89107,Clark,36.175831,-115.232825,Unknown,Not available,18
915 E 124th Ave Apt A,Tampa,FL,33612,Hillsborough,28.059974,-82.449713,Unknown,Not available,19
4360 Oregon St,San Diego,CA,92104,San Diego,32.756538,-117.135481,R-1:SINGLE FAM-RES,UNIVERSITY HEIGHTS,20
72 Washington St,Saratoga Springs,NY,12866,Saratoga,43.080304,-73.789832,Unknown,Not available,21
83 Euclid Blvd,Asheville,NC,28806,Buncombe,35.57953,-82.571555,RM8,FRENCH BROAD TERR,22
6331 County Rd,Tyler,TX,75704,Smith,32.344812,-95.375248,Unknown,GREENBRIAR MHP,23
5849 Blendon Place Dr,Columbus,OH,43230,Franklin,40.067023,-82.865645,Unknown,BLENDON PARK,24
16688 Heatherwood Dr,Clinton Township,MI,48038,Macomb,42.595938,-82.95368,R-4,SUNFIELD ESTATES SUBDIVISION,25
2211 Eustis St,Saint Paul,MN,55113,Ramsey,45.007764,-93.203061,A,SECTION 8 TOWN 29 RANGE 23,26
2090 Beckenham Pl,Dacula,GA,30019,Gwinnett,34.000258,-83.916209,R100M-SINGLE FAM RES,APALACHEE WOODS,27
6345 Evanston Ave,Saint Louis,MO,63133,Saint Louis,38.678784,-90.287593,78RB,KIENLEN ADDITION,28
45 Sherbrooke Rd,Ewing,NJ,8638,Mercer,40.258032,-74.756686,R-2,SHERBROOKE MANOR SEC 02,29
903 S Ashland Ave,Chicago,IL,60607,Cook,41.870443,-87.665844,Unknown,Not available,30
522 Swanson Cres,Milford,CT,6461,New Haven,41.246317,-73.034664,RMF1,FOXWOOD # 3,31
211 Zodiac Ct,Walkersville,MD,21793,Frederick,39.495074,-77.343862,Unknown,SUN MDW PH 06 01,32
5643 Danbury Cir,Lake In The Hills,IL,60156,McHenry,42.198626,-88.404784,Unknown,MEADOWBROOK 15,33
2422 S Old Oaks Dr,Beavercreek,OH,45431,Greene,39.760903,-84.067658,"R-PUD 471,472",SPICER HEIGHTS 6,34
4148 Benham St,Elmhurst,NY,11373,Queens,40.746997,-73.872588,R5,ELMHURST SEC A,35
2102 Lucaya Bnd,Coconut Creek,FL,33066,Broward,26.255746,-80.179154,PUD,LUCAYA VILLAGE 2C CONDO,36
8750 Lupine Dr,Amarillo,TX,79119,Randall,35.070038,-101.941212,Unknown,WILDFLOWER VILLAGE # 1,37
3459 E 98th St,Carmel,IN,46033,Hamilton,39.930756,-86.106254,Unknown,BRIAR LANE ESTATES,38
308 N 13th St,Fredonia,KS,66736,Wilson,37.532775,-95.817462,Unknown,GARFIELD PARK ADDITION,39
6427 Jefferson Ave,Hammond,IN,46324,Lake,41.596312,-87.509849,Unknown,CALUMET HEIGHTS,40
7610 Woodcrest Ave,Philadelphia,PA,19151,Philadelphia,39.973597,-75.267252,RSA5,Not available,41
2841 Ridge Crossing Ct NW,Concord,NC,28027,Cabarrus,35.374527,-80.675808,RC,RIDGE XING PH I MAP 02,42
50 Wedgewood Dr,Westbury,NY,11590,Nassau,40.769154,-73.556055,Unknown,IMPERIAL GDNS SEC 4,43
4305 43rd Way,West Palm Beach,FL,33407,Palm Beach,26.756462,-80.102077,Unknown,VILLAGE OF SANDALWOOD LAKES PL 3,44
500 Magnolia St,Bastrop,TX,78602,Bastrop,30.127031,-97.32271,Unknown,S6760 - MAGNOLIA PARK,45
4104 N Timber Cir,Peoria,IL,61614,Peoria,40.736015,-89.56898,Unknown,GRAND PARK SUB,46
PO Box 296,Harleysville,PA,19438,Montgomery,40.270431,-75.386044,Unknown,Not available,47
325 W Wayside Rd,Carrollton,GA,30116,Carroll,33.586622,-84.996825,A,Not available,48
9503 Oasis Way Blvd,Riverview,FL,33578,Hillsborough County,27.917435,-82.344688,Unknown,Not available,49
6 Wheeling Ln,Palm Coast,FL,32164,Flagler,29.520919,-81.241379,Unknown,PALM COAST,50
1121 Ave F,Ralls,TX,79357,Crosby,33.682703,-101.386879,Unknown,Not available,51
1839 Via,Palm Springs,CA,92264,Riverside,33.79884,-116.531715,R1C,Not available,52
2910 Princewood Dr,Garland,TX,75040,Dallas,32.947607,-96.624852,Z239,GLENBROOK MEADOWS,53
1652 Ne 1st Ave,Oak Harbor,WA,98277,Island,48.29902,-122.637845,OH,EVERGREEN TERR,54
74 Midland Dr,Meriden,CT,6450,New Haven,41.501322,-72.78447800000001,S-R,Not available,55
812 W Princeton Ave,Fresno,CA,93705,Fresno,36.775967,-119.821181,RS5,PRINCETON PARK #2,56
4610 Ne 102nd Ct,Kansas City,MO,64156,Clay,39.278663,-94.524979,Unknown,PINE GROVE MEADOWS 2ND,57
3509 Watercrest Dr,Plano,TX,75093,Collin,33.045298,-96.795464,SFR,LAKESIDE ON PRESTON PHASE 3A (CPL),58
1432 Holm Ave,Modesto,CA,95351,Stanislaus,37.613615,-120.97165,Unknown,RICHLAND,59
211 Larkspur Ln,Paducah,KY,42003,McCracken,36.990076,-88.50903,Unknown,MEADOWLAND SUB,60
9897 Bathurst Way,Highlands Ranch,CO,80130,Douglas,39.53674,-104.929127,Unknown,HIGHLANDS RANCH,61
735 Van Buren Dr,Vestavia,AL,35226,Jefferson,33.414402,-86.814706,R2,JEFF HGLDS RES 7-14 39-2-,62
1316 Wells Dr,Canon City,CO,81212,Fremont,38.437641,-105.221055,Unknown,WELLS PLACE,63
2139 E 34th St,Indianapolis,IN,46218,Marion,39.817762,-86.124813,ZO01,RUCKLES ADDITTION,64
1325 N Franklin St,Dublin,GA,31021,Laurens,32.559086,-82.912476,Unknown,Not available,65
920 Nw 85th St,Miami,FL,33150,Miami-Dade,25.853165,-80.212705,"0100:SINGLE FAM,GENERAL",ARCOLA GDNS RESUB,66
3267 Balsamridge Dr,Green Township,OH,45239,Hamilton,39.191379,-84.59187,Unknown,Not available,67
1626 E 16th St,Loveland,CO,80538,Larimer,40.409199,-105.05291,Unknown,MCKEE MEADOWS ADD,68
3014 Mcmaster Ct,Herndon,VA,20171,Fairfax,38.92167,-77.413811,PDH-3(RESIDENTIAL 3 DU/AC,HIGHLAND MEWS,69
11464 113th Rd,Live Oak,FL,32060,Suwannee County,30.24069,-82.978455,Unknown,Not available,70
136 Mary Max Cir,San Marcos,TX,78666,Hays,29.859625,-97.974293,Unknown,THE RETREAT ON WILLOW CREEK,71
1016 W State St,Mason City,IA,50401,Cerro Gordo,43.152149,-93.217031,Unknown,FOREST PARK ADD,72
6 Buckboard Ct,Bolingbrook,IL,60490,Will,41.677739,-88.127281,Unknown,LAKEWOOD FARMS,73
249 Bent River Dr,Inman,SC,29349,Spartanburg,35.134001,-82.017227,Unknown,BENT RIVER SUB,74
6413 Oak Point Ests,Lorain,OH,44053,Lorain,41.42073,-82.247962,Unknown,OAK POINT ESTATES SUB,75
1216 Clearwing Cir,Georgetown,TX,78626,Williamson,30.591748,-97.660271,Unknown,TERAVISTA SEC 322B & 323,76
3367 S Clark Fork Ct,Nampa,ID,83686,Canyon,43.536265,-116.514344,Unknown,RIVER MEADOW PH 1,77
2825 Dunkirk Dr,Raleigh,NC,27613,Wake,35.887827,-78.69069,R-4,STONEHENGE IV SUB SEC 15,78
11316 Lakeland Cir,Fort Myers,FL,33913,Lee,26.579898,-81.738331,PUD,SILVERLAKES AT GATEWAY,79
865 Lincoln St,Wyandotte,MI,48192,Wayne,42.224946,-83.157142,Unknown,ANN SUB,80
3459 Washington Dr,Saint Paul,MN,55122,Dakota,44.831663,-93.170852,Unknown,Not available,81
5203 Melissa Ln,Fort Pierce,FL,34946,Saint Lucie,27.487392,-80.37745,RMH-5 - CO,GREEN ACRES UNIT 3,82
9411 S Cougar Rd,Littleton,CO,80127,Jefferson,39.544707,-105.136185,Unknown,Not available,83
15 Vista Palm Ln,Vero Beach,FL,32962,Indian River,27.598213,-80.377356,Unknown,VISTA ROYALE PHASE IV BLDGS 83-111,84
324 Riding Ridge Rd,Annapolis,MD,21403,Anne Arundel,38.948741,-76.506676,Unknown,HUNT MEADOW,85
6670 Harbourview Dr,New Orleans,LA,70126,Orleans,30.022187,-90.010609,Unknown,Not available,86
819 Eugene St,Indianapolis,IN,46208,Marion,39.808938,-86.174191,ZO01,A L ROACHES NORTH INDPLS ADD,87
3107 Stonehurst Cir,Kissimmee,FL,34741,Osceola,28.342998,-81.441312,KRPU,STONEHURST @ STNFLD,88
1207 E Cutler Rd,Salt Lake City,UT,84106,Salt Lake,40.690831,-111.856713,1208,CUTLER VILLAGE,89
5912 Saddlepack Dr,Fort Worth,TX,76123,Tarrant,32.61303,-97.417154,Unknown,CHISHOLM TRAIL RANCH,90
2649 Lakeview Dr,Saint Albans,WV,25177,Kanawha,38.369245,-81.851807,Unknown,RIVER LAKE ESTATE,91
2074 Bat Cave Rd,Old Fort,NC,28762,McDowell,35.602275,-82.16882,Unknown,Not available,92
199 Ave A,New York,NY,10009,New York,40.729428,-73.98143,Unknown,Not available,93
1809 E Davies Pl,Lake Point,UT,84074,Tooele,40.682897,-112.26185,Unknown,DAVIES PLACE SUBDIVISION,94
1905 Jones Bridge Rd,Greeneville,TN,37743,Greene,36.138966,-82.816289,Unknown,S T WILHOIT FARM,95
6657 Tyrian St,La Jolla,CA,92037,San Diego,32.829037,-117.275588,R-2:MINOR MULTIPLE,STARKEYS PROSPECT PARK,96
2222 Austin Ave,Deltona,FL,32738,Volusia,28.927227,-81.19575,R,DELTONA,97
31 Timmons Woods Dr,Delaware,OH,43015,Delaware,40.270561,-83.068194,Unknown,TIMMONS WOODS CONDO PH 4E,98
15204 Omega Dr,Rockville,MD,20850,Montgomery,39.106962,-77.197053,Unknown,Not available,99
806 S Langley Ave,Tucson,AZ,85710,Pima,32.210533,-110.84362899999999,Unknown,LANGLEY GARDENS,100
432 Ghormley Ave,Oakland,CA,94603,Alameda,37.733963,-122.183451,Unknown,Not available,101
3142 Sw Armucher St,Port Saint Lucie,FL,34953,Saint Lucie,27.251664,-80.41312,RS-2 PSL,PORT ST LUCIE SECTION 7,102
1022 Park Ave,Chesterton,IN,46304,Porter,41.605071,-87.066331,Unknown,CHICAGO PORTER HOME INVESTMENT,103
1930 Bay Laurel Dr,Weatherford,TX,76086,Parker,32.731078,-97.815068,Unknown,PARK OAKS ADDITION,104
3260 Southshore Dr,Punta Gorda,FL,33955,Lee,26.760652,-82.060911,Unknown,NORTH FM MARINA AREA BURNT STORE,105
445 River Mist Dr,Suwanee,GA,30024,Forsyth,34.124059,-84.103129,R2R,RIVERMIST,106
425 Palegold St,Henderson,NV,89012,Clark,36.022,-115.003681,Unknown,MONTENEGRO EST UNIT 1B,107
43620 Colusa Dr,Big Bear Lake,CA,92315,San Bernardino,34.233962,-116.850256,Unknown,MOONRIDGE MOUNTAIN ESTATES UNIT #21,108
2314 County Rd,Celeste,TX,75423,Hunt County,33.356719,-96.170124,Unknown,Not available,109
7609 Nunsland Dr,Austin,TX,78744,Travis,30.159993,-97.729538,Unknown,SPRINGFIELD SEC 3,110
721 Depew St,Lakewood,CO,80214,Jefferson,39.728662,-105.058105,Unknown,Not available,111
2246 Pebble Creek Dr,Lisle,IL,60532,Dupage,41.81363,-88.09806,R,CORPORATE WOODS,112
917 S Urbana Ave Unit A,Tulsa,OK,74112,Tulsa,36.148956,-95.925598,Unknown,Not available,113
11660 Alpharetta Hwy,Roswell,GA,30076,Fulton,34.066309,-84.322548,Unknown,Not available,114
1918 E Lafayette Pl,Milwaukee,WI,53202,Milwaukee,43.055958,-87.886682,Unknown,Not available,115
3836 K St,Philadelphia,PA,19124,Philadelphia,40.006061,-75.105462,RSA5,Not available,116
503 S White St,Mackinaw,IL,61755,Tazewell,40.531662,-89.355754,Unknown,THAMES ADDN,117
2040 12th St N,Saint Petersburg,FL,33704,Pinellas,27.791042,-82.651082,Unknown,EUCLID GROVE,118
7637 Parkview Rd,Upper Darby,PA,19082,Delaware,39.967192,-75.271661,Unknown,Not available,119
1206 N Hayworth Ave,West Hollywood,CA,90046,Los Angeles County,34.092114,-118.362782,Unknown,Not available,120
1142 Bronwyn Ave,Columbus,OH,43204,Franklin,39.931369,-83.069795,Unknown,BROOKSHIRE PARK NO 3,121
27031 Sandy Crk,Magnolia,TX,77355,Montgomery,30.175844,-95.800327,2,WOODLAND LAKES 07 MAG,122
3102 Allison Ave,Memphis,TN,38112,Shelby,35.144964,-89.957776,R-6,EASTERN HEIGHTS BLK F,123
3415 N Taft Ave,Indianapolis,IN,46222,Marion,39.817328,-86.235782,Unknown,EAGLEDALE 7TH SEC,124
9227 Litzsinger Rd,Saint Louis,MO,63144,Saint Louis,38.618599,-90.356353,9B,PARKRIDGE,125
2200 Nw 59th Way,Lauderhill,FL,33313,Broward,26.1536,-80.228008,Unknown,HABITAT II PH IV CONDO,126
1807 Bellewood Rd,Wilmington,DE,19803,New Castle,39.790999,-75.53078,NC6.5,BELLEWOOD,127
3891 Highway,Olive Branch,MS,38654,Desoto,34.917467,-89.830501,Unknown,Not available,128
4631 N 101st Ave,Phoenix,AZ,85037,Maricopa,33.50423,-112.277209,R-6,VILLA DE PAZ UNIT 7,129
3012 Cathy Ann Ct NW,Acworth,GA,30101,Cobb,34.028441,-84.688215,Unknown,MARS HILL ACRES,130
1997 Pioneer Dr,Milliken,CO,80543,Weld,40.325937,-104.843481,Unknown,SETTLERS VILLAGE,131
351 Tecumseh St,Fall River,MA,2721,Bristol,41.690987,-71.150997,N/A,Not available,132
298 Timbercreek Dr,Lake Jackson,TX,77566,Brazoria,29.058997,-95.461328,Unknown,TIMBERCREEK SEC 2,133
23702 Sw 110th Ave,Homestead,FL,33032,Miami-Dade County,25.547202,-80.370164,Unknown,Not available,134
Collyns Cv,Prairieville,LA,70769,Ascension,30.3112,-90.9465,Unknown,Not available,135
4 Jason Ct,Dix Hills,NY,11746,Suffolk,40.7965,-73.350092,R40,CHABBS ESTATS,136
46596 Mission Blvd,Fremont,CA,94539,Alameda,37.492031,-121.926678,Unknown,Not available,137
85-23 Edgerton Blvd,Jamaica,NY,11432,Queens County,40.716369,-73.78662,Unknown,Not available,138
4425 Norwalk Dr,San Jose,CA,95129,Santa Clara,37.318415,-121.980782,RM,LIBERTY BELL ESTATES,139
215 W Miner St,Arlington Heights,IL,60005,Cook,42.084396,-87.986688,Unknown,Not available,140
10200 Falcon Pine Blvd,Orlando,FL,32829,Orange,28.501483,-81.238551,Unknown,Not available,141
5623 S 162nd Ave,Omaha,NE,68135,Douglas,41.200261,-96.168077,R4,QUAIL HOLLOW,142
13365 W Gordon St,Allentown,PA,18102,Lehigh,40.606255,-75.480113,R-MH,Not available,143
2868 Presley Ave,Grand Junction,CO,81501,Mesa,39.088335,-108.520811,Unknown,LEGENDS EAST FILING 01,144
275 Romans Rd,China Grove,NC,28023,Rowan,35.569097,-80.537861,RR,LEONA EAGLE AND ELSIE FOUTZ,145
2374 Highway,Conway,SC,29527,Horry,33.843609,-79.093232,MR2,Not available,146
372 Wellsboro St,Walled Lake,MI,48390,Oakland,42.537646,-83.486134,RI,O'FLAHERTY'S LAKE VIEW SUB,147
52285 Oak Run Dr,Granger,IN,46530,St Joseph,41.734353,-86.18478,Unknown,OAKDALE MDWS SEC 2,148
4526 Safe Hbr,San Antonio,TX,78244,Bexar,29.471508,-98.338728,Unknown,MUSTANG VALLEY,149
206 Brookes Ave,Gaithersburg,MD,20877,Montgomery,39.144405,-77.194455,Unknown,Not available,150
561 Ethridge Pl,Charlotte,NC,28216,Mecklenburg,35.249091,-80.862135,Unknown,Not available,151
PO Box 109,Mill Village,PA,16427,Erie,41.8768,-79.971,Unknown,Not available,152
8370 Greensboro Dr,Mc Lean,VA,22102,Fairfax,38.9288,-77.234931,R-30(RESIDENTIAL 30 DU/AC,THE ROTONDA CONDO,153
2333 Marsh Landing Ct,Fleming Island,FL,32003,Clay,30.107169,-81.732722,PUD,COUNTRY WALK/EAGLE HARBOR,154
418 S Main St,Erie,KS,66733,Neosho,37.564362,-95.243209,Unknown,Not available,155
115 De Witt St,Gonzales,TX,78629,Gonzales,29.501252,-97.441013,Unknown,Not available,156
2310 Raymond Ave,Henrico,VA,23228,Henrico,37.637226,-77.490283,R-3,ROCKY BRANCH FARM,157
4004 Riverside Ct,Virginia Beach,VA,23453,Virginia Beach City,36.796757,-76.11108,10,GREEN RUN,158
10620 Kinross Ave Apt B,El Paso,TX,79935,El Paso,31.787138,-106.33091,A2,PEBBLE HILLS #2,159
1215 Wessex Pl,Princeton,NJ,8540,Mercer,40.308462,-74.64375,Unknown,Not available,160
38 Highline Rd,Lake Ozark,MO,65049,Camden,38.200379,-92.657036,Unknown,Not available,161
59 Lisbon St,Heuvelton,NY,13654,St. Lawrence,44.618807,-75.40691699999999,Unknown,Not available,162
164 Pine Way,Dallas,GA,30157,Paulding,33.988235,-84.764907,Unknown,TIMBERLANDS UNIT 2B,163
418 Weizmann St,San Antonio,TX,78213,Bexar,29.492066,-98.511343,Unknown,CONV A/S CODE,164
3121 Dug Hill Rd,Huntsville,AL,35811,Madison,34.772946,-86.474596,Unknown,Not available,165
