addressLine1,city,state,zipCode,county,latitude,longitude,zoning,subdivision,location_id
737 Olive Way,Seattle,WA,98101,King,47.613563,-122.334052,Unknown,Not available,334
511 Cherry Bark Rd,Middletown,DE,19709,New Castle,39.475763,-75.635122,S,BAYMONT FARMS,335
425 N Canal St,Canton,MS,39046,Madison,32.619439,-90.042339,Unknown,LUTZ FRANK 2 BL C,336
5 Vista Ave,Lynchburg,VA,24503,Lynchburg City,37.439964,-79.177329,R2,RIVERSIDE,337
1880 Hosier Rd,Suffolk,VA,23434,Suffolk City,36.667167,-76.579884,AGRICULTURAL,SOUTHERN MARKET RESIDENCE,338
2145 E Hagert St,Philadelphia,PA,19125,Philadelphia,39.981796,-75.125992,RSA5,Not available,339
15015 79th Ave,Flushing,NY,11367,Queens,40.720355,-73.812861,R4,Not available,340
1858 Mallow Ln,Grove City,OH,43123,Franklin,39.851714,-83.054455,Unknown,MEADOW GROVE ESTATES NORTH SEC 1,341
5887 Pinehurst Ct,Grand Forks,ND,58201,Grand Forks,47.864103,-97.064332,Unknown,KANNOWSKI'S FIRST ADDITION,342
6000 Ne Moonstone Dr,Lees Summit,MO,64064,Jackson,39.021039,-94.362042,Unknown,THE CONDOMINIUMS OF OAKS RIDGE MEADOWS,343
585 Lake St,Adrian,MI,49221,Lenawee,41.910906,-84.041738,R-4,ADRIAN HEIGHTS,344
591 Rosewood Dr,Savannah,TN,38372,Hardin,35.246942,-88.231479,Unknown,Not available,345
112 Redwood Dr,Greenville,SC,29611,Greenville,34.829261,-82.457634,R15,PELHAM WOODS,346
4004 Irvington Blvd,Houston,TX,77009,Harris,29.799467,-95.360483,Unknown,Not available,347
4077 S Sabrina Dr,Chandler,AZ,85248,Maricopa,33.246855,-111.860579,Unknown,ECHELON AT OCOTILLO CONDOMINIUM AMD,348
231 Chinqua Penn Trl,Reidsville,NC,27320,Rockingham,36.40236,-79.709289,RES PROTECTED COUNTY,SOMERSET SUBDIVISION,349
1501 Nevada Dr,Plano,TX,75093,Collin,33.018897,-96.780211,SFR,PRESTONDALE (CPL),350
741 S Morningside Dr,Fayetteville,AR,72701,Washington,36.05391,-94.150429,Unknown,Not available,351
3603 Clarks Creek Rd,Plainfield,IN,46168,Hendricks,39.71051,-86.370912,Unknown,Not available,352
263 E King St,Winona,MN,55987,Winona,44.044663,-91.633876,Unknown,Not available,353
1288 Mignon Tower,Morehead,KY,40351,Rowan,38.18697,-83.433025,Unknown,Not available,354
1945 Grotte Ave NE,Bemidji,MN,56601,Beltrami,47.480005,-94.832809,Unknown,SAINT ONGE CHIPPEWA HEIGHTS #2,355
144 Jefferson St,Beckley,WV,25801,Raleigh,37.776705,-81.173253,Unknown,POPLAR ADD,356
917 Royer Dr,Charlottesville,VA,22902,Charlottesville City,38.010838,-78.495274,PLANNED UNIT DEVELOPMENT,WILLOUGHBY,357
1328 Odell St,Bronx,NY,10462,Bronx,40.835008,-73.853681,Unknown,Not available,358
403 W Center St,Manchester,CT,6040,Hartford,41.770461,-72.55423,Unknown,Not available,359
339 Lamp Post Ln,Etters,PA,17319,York County,40.177305,-76.811811,Unknown,Not available,360
512 W Nettle Tree Rd,Sterling,VA,20164,Loudoun,39.002726,-77.41401,PDH3,STERLING PARK,361
108 Booker St,Marshville,NC,28103,Union,34.988237,-80.375212,SFR-3 MARSHVILLE,SRF DEVELOPMENT,362
1145 Fielding Dr,West Chester,PA,19382,Chester,39.925905,-75.574161,R2,PLEASANT GROVE,363
1507 Pecan Ln,Kernersville,NC,27284,Forsyth,36.085903,-80.11023,RS9,BEESON PARK,364
16322 County Rd,Forney,TX,75126,Kaufman,32.79517,-96.416195,Unknown,RUTH PECKUM,365
5122 Melmax St,Norton Shores,MI,49441,Muskegon,43.159596,-86.266983,R-3,WIERSMA,366
13150 Bissonnet St,Houston,TX,77099,Harris,29.681597,-95.613048,Unknown,Not available,367
107 Mosaic Oaks Cir,Santa Rosa Beach,FL,32459,Walton,30.388883,-86.20439,Unknown,Not available,368
1405 Mossy Rock Ln,Knoxville,TN,37922,Knox,35.891005,-84.039376,Unknown,LYONS CROSSING UNIT VI,369
3422 Bent Oak Hwy,Adrian,MI,49221,Lenawee,41.932533,-84.038489,IN,Not available,370
5532 Running Fox Ln,Durham,NC,27703,Durham,35.930509,-78.755328,RESIDENTIAL-6,BENNINGTON,371
707 Newcomb St,Franklin,TN,37064,Williamson,35.871536,-86.808505,Unknown,HIGHLANDS @ LADD PARK,372
1745 E Appleton St,Long Beach,CA,90802,Los Angeles,33.768528,-118.170217,Unknown,Not available,373
1809 Star Bright Way,Reno,NV,89523,Washoe,39.530824,-119.949036,PD,SOMERSETT VILLAGE 5B,374
1600 W Adams St,Herrin,IL,62948,Williamson,37.806095,-89.044144,Unknown,WEST END HEIGHTS,375
11400 Domain Dr,Austin,TX,78758,Travis,30.400396,-97.725186,Unknown,Not available,376
26 Pueblo Ln,Earleville,MD,21919,Cecil,39.3887562,-75.91437116,Unknown,Not available,377
2321 Silver Creek Dr,Rock Springs,WY,82901,Sweetwater,41.594491,-109.25686,Unknown,Not available,378
11601 Dogwood Ln,Fort Myers Beach,FL,33931,Lee,26.481257,-81.940128,MH-1,BAYSIDE ESTATES,379
531 Estrella Dr,Lexington,KY,40511,Fayette,38.093415,-84.536818,R-3,HILLENMEYER PROP WEST,380
207 N Corey St,Griggsville,IL,62340,Pike,39.709864,-90.726667,Unknown,Not available,381
220 20th St S,Arlington,VA,22202,Arlington,38.856103,-77.049385,Unknown,Not available,382
6075 Se Green Ct,Hillsboro,OR,97123,Washington,45.511025,-122.919488,SFR-6,FRANCES ESTATES,383
1033 Wenonah Ave,Oak Park,IL,60304,Cook,41.869303,-87.800822,Unknown,KAUFMAN & STEPHENS ADD TO OAK,384
13513 Pico Ct,Fontana,CA,92336,San Bernardino,34.115057,-117.504991,Unknown,Not available,385
6905 Rowan Springs Cir,Leeds,AL,35094,Jefferson,33.538059,-86.570558,R1,ROWAN SPRING 2 SEC PH 11,386
191 E El Camino Real,Mountain View,CA,94040,Santa Clara,37.37894,-122.070089,Unknown,Not available,387
1906 E Sunset Ct,Goddard,KS,67052,Sedgwick,37.669534,-97.553934,Unknown,SUBD NO.: T15,388
21307 48th Ave W,Mountlake Terrace,WA,98043,Snohomish,47.805096,-122.296735,RMM,QUARTER NE SUBDIVISION,389
5303 Kornwal Dr,Columbus,OH,43232,Franklin,39.937585,-82.851989,Unknown,PINE HILLS,390
5779 Swamp Fox Rd,Jacksonville,FL,32210,Duval,30.26084,-81.735807,RLD-90,CONFEDERATE POINT UNIT 04,391
5995 Bolsena Pl,Myrtle Beach,SC,29577,Horry,33.750225,-78.845435,Unknown,Not available,392
86B Main St,Northborough,MA,1532,Worcester,42.320255,-71.635987,Unknown,Not available,393
78 Suncrest Dr,Greenwood,IN,46143,Johnson,39.632798,-86.104215,Unknown,MEADOWGLEN SUB DIV 4TH SEC,394
607 Gamewood Dr,Spring,TX,77386,Montgomery,30.13782,-95.43496,Unknown,OAKRIDGE FOREST 04,395
2941 Circling Hawk St,Grand Junction,CO,81503,Mesa,39.024329,-108.507354,Unknown,RED TAIL RIDGE III SUBDIVISION,396
13201 Pine Needle St,Manor,TX,78653,Travis,30.342959,-97.522834,Unknown,CARRIAGE HILLS SEC 3,397
706 Weldon St,Hancock,MI,49930,Houghton,47.129319,-88.590493,Unknown,Not available,398
7655 Micawber Ct,Indianapolis,IN,46256,Marion,39.893461,-86.032087,ZO01,COPPERFIELD SEC 1,399
1510 Honan St,Chester,PA,19013,Delaware,39.84292,-75.399296,Unknown,Not available,400
25630 S Ontario Dr,Sun Lakes,AZ,85248,Maricopa,33.213532,-111.876835,R-6,SUN LAKES UNIT 8,401
274 Wildhorse Ct,San Jose,CA,95138,Santa Clara,37.238033,-121.75901,R1,METCALF ROAD,402
4920 E Princeton Ave,Englewood,CO,80113,Arapahoe,39.639345,-104.93061,Unknown,CHERRY HILLS EAST 3RD FLG,403
1426 Commonwealth Ave,Duluth,MN,55808,Saint Louis,46.672734,-92.226254,Unknown,Not available,404
500 The Hermitage Dr,Alpharetta,GA,30004,Fulton,34.107933,-84.273084,AG1,THE HERMITAGE,405
240 George Wythe Ln,Williamsburg,VA,23188,James City,37.270401,-76.775901,R4 RESIDENTIAL PLANNED CO,POWHATAN WOODS,406
205 Lexington St,Whitehouse,TX,75791,Smith,32.224225,-95.216933,Unknown,GREENVIEW,407
5201 42nd St,Columbus,NE,68601,Platte,41.455713,-97.392532,01-SINGLE FAMILY,MEADOW RIDGE 2ND ADDITION,408
24725 Saxony Ave,Eastpointe,MI,48021,Macomb,42.47684,-82.942929,R1,MANOR,409
606 Valley Ln,Springdale,AR,72762,Benton County,36.214655,-94.248865,Unknown,Not available,410
308 Millhouse Dr,Franklin,TN,37064,Williamson,35.93154,-86.900006,Unknown,Not available,411
957 N Orchard Ave,Ogden,UT,84404,Weber,41.274909,-111.963207,01A,RON CLARE VILLAGE 02,412
718 Delta Downs Dr,Cary,NC,27519,Wake,35.82176,-78.915532,TRP,LEXINGTON PARK AMBERLY PH 2 SE,413
2918 Fulton St,Berkeley,CA,94705,Alameda,37.8564,-122.263762,Unknown,Not available,414
2186 University Commons Dr SE,Massillon,OH,44646,Stark,40.77199,-81.487858,Unknown,UNIVERSITY COMMONS CONDO,415
702 Ave A,Sweeny,TX,77480,Brazoria,29.041144,-95.692689,Unknown,GLENWOOD EXT,416
5291 Bevens Ave,Spring Hill,FL,34608,Hernando,28.50926,-82.544213,Unknown,SPRING HILL UNIT 18,417
428 Sam Houston Ave,Huntsville,TX,77320,Walker,30.731991999999998,-95.551798,Unknown,HILLCREST,418
131 W Mill St,Nesquehoning,PA,18240,Carbon,40.863895,-75.813942,Unknown,Not available,419
66 Paradise Rd,North Woodstock,NH,3262,Grafton,44.034838,-71.690355,R01,Not available,420
15823 Brookridge Blvd,Brooksville,FL,34613,Hernando,28.559934,-82.487681,Unknown,BROOKRIDGE COMM UNIT 4,421
49 Sylvan Ln,Cheshire,CT,6410,New Haven,41.49721,-72.919723,R-40,Not available,422
1608 45th St,Phenix City,AL,36867,Russell,32.505794,-85.018905,O,SUSSEX SD,423
9166 Dawes Oak Dr,Theodore,AL,36582,Mobile,30.583843,-88.257877,Unknown,OAK S/D,424
485 Sweet Wood Way,Wellington,FL,33414,Palm Beach,26.670205,-80.244779,PUD,TREE TOPS OF WELLINGTON,425
12112 Se 205th Pl,Kent,WA,98031,King,47.418463,-122.179636,SR-6,FENTON RIDGE,426
1650 Liholiho St,Honolulu,HI,96822,Honolulu,21.307346,-157.837677,Unknown,Not available,427
1004 Silverton Cir,Lincoln,CA,95648,Placer,38.879799,-121.296346,Unknown,LINCOLN CROSSING VILLAGE 2B PH,428
2511 Willowick Rd,Houston,TX,77027,Harris,29.742517,-95.44091,Unknown,Not available,429
1680 Jamestown St SE,Salem,OR,97302,Marion County,44.887458,-123.021859,Unknown,Not available,430
5416 Flying Arrow Pl,North Las Vegas,NV,89031,Clark,36.25859,-115.182684,Unknown,ANN ALLEN BY PARDEE UNIT 2,431
200 E Jefferson St,El Paso,IL,61738,Woodford,40.736233,-89.01325,Unknown,Not available,432
965 Camp Creek Dr SW,Lilburn,GA,30047,Gwinnett,33.85587,-84.120134,R100-SINGLE FAM RES,CAMP CREEK EST,433
869 Sangria Ct,Lawrenceville,GA,30043,Gwinnett,34.007629,-84.053749,RM-MULTI-FAMILY RESIDENCE,FALCONCREST,434
153 Pine Crest Cir,Montgomery,TX,77316,Montgomery,30.281509,-95.580938,Unknown,WOODFOREST 29,435
4200 Shady Oak Dr,Ooltewah,TN,37363,Hamilton,35.052539,-85.114425,R1,FAIR OAKS #2,436
7465 Hollister Ave,Goleta,CA,93117,Santa Barbara,34.424316,-119.887656,Unknown,Not available,437
14421 W Dakota St,New Berlin,WI,53151,Waukesha,42.992071,-88.094009,R5,ALAN ACRES,438
31303 Kirkshire Ct,Wesley Chapel,FL,33543,Pasco,28.185602,-82.298607,MPUD,MEADOW POINTE,439
12364 W Nevada Pl,Lakewood,CO,80228,Jefferson,39.699639,-105.138629,Unknown,SHADOW HILLS CONDOS PH III,440
2363 Chapel Ridge Pl,Salina,KS,67401,Saline,38.800802,-97.605279,Unknown,Not available,441
3003 Olive St,Texarkana,TX,75503,Bowie,33.445823,-94.049759,Unknown,ROCHELLE 2ND,442
2666 Renton Way,Castro Valley,CA,94546,Alameda,37.69575,-122.088278,Unknown,Not available,443
943 Cambridge Dr,Sikeston,MO,63801,Scott,36.871314,-89.567439,Unknown,T & C ACRES 5TH ADDN,444
340 W Carlton Way,Tracy,CA,95376,San Joaquin,37.745997,-121.430792,07,PARKER VILLAS 03,445
6102 Royal Point Ct,Kingwood,TX,77345,Harris,30.037656,-95.134169,Unknown,ROYAL SHORES PAR R/P #1,446
1909 11th St NW,Birmingham,AL,35215,Jefferson,33.639396,-86.714688,R2,REDSTONE 5S-1 AD 13-14-4,447
3531 Orrwood St,Frederick,CO,80516,Weld,40.099459,-104.987263,Unknown,WYNDHAM HILL FG 9,448
16 S 27th St,Billings,MT,59101,Yellowstone,45.780319,-108.502419,Unknown,Not available,449
3921 Korth Ln,Richmond,VA,23223,Henrico,37.561301,-77.362733,R-2A,MITCHELTREE,450
14170 Plymouth Ave,Burnsville,MN,55337,Dakota,44.746411,-93.26991,Unknown,PORTLAND CARRIAGE HOMES,451
2000 Saint Joseph St,Florissant,MO,63033,Saint Louis,38.792004,-90.313256,24R4,ROLLING MEADOWS PLAT 2,452
3226 Greentree Acres Rd,Valdese,NC,28690,Burke,35.735573,-81.612554,AA0,GREENTREE,453
16053 Swathmore Ct N,Livonia,MI,48154,Wayne,42.402768,-83.429477,Unknown,Not available,454
239 Trackside Dr,Lafayette,IN,47905,Tippecanoe,40.411862,-86.799579,Unknown,SADDLEBROOK ESTATES,455
406 W Green St,Athens,AL,35611,Limestone,34.801337,-86.973444,Unknown,Not available,456
8 Clover Ln,Bloomfield,CT,6002,Hartford,41.833101,-72.727301,R-15,Not available,457
5450 Lenox Dr,San Diego,CA,92114,San Diego,32.718066,-117.078615,R-2:MINOR MULTIPLE,BEVERLY,458
413 Halls Mill Dr,Cary,NC,27519,Wake,35.768615,-78.848432,R8CU,SHERWOOD GREENS PH 4,459
32614 N 19th Ln,Phoenix,AZ,85085,Maricopa,33.780599,-112.101966,Unknown,Not available,460
1738 W Us Hwy,Lexington,NC,27295,Davidson,35.828527,-80.288665,RM1,Not available,461
517 Tilden St,Fairmont,MN,56031,Martin,43.649882,-94.454941,Unknown,Not available,462
3333 W Ruby Hill Dr,Pleasanton,CA,94566,Alameda,37.638819,-121.816822,Unknown,Not available,463
81 Hanover Ln,Williamstown,NJ,8094,Gloucester,39.639626,-74.94245,Unknown,Not available,464
2885 N 15th Ave,Milton,FL,32583,Santa Rosa,30.540045,-87.105351,R1,AVALON BEACH,465
12316 King Charles Ave,Baton Rouge,LA,70810,East Baton Rouge,30.367184,-91.082858,Unknown,BARKLEY PLACE,466
133 Lake Front Dr,Daphne,AL,36526,Baldwin,30.65001,-87.89888,Unknown,Not available,467
730 Center St,Henderson,NV,89015,Clark,36.039588,-114.966375,Unknown,Not available,468
500 Chaffee Rd S,Jacksonville,FL,32221,Duval,30.306898,-81.852011,Unknown,Not available,469
3085 Oakcreek Rd,Chino Hills,CA,91709,San Bernardino,33.961898,-117.737533,Unknown,Not available,470
2807 Clove Ln,Edgewater,MD,21037,Anne Arundel,38.967711,-76.557381,R1,GINGERVILLE WOODS,471
3289 E Griffin St,Inverness,FL,34453,Citrus,28.85729,-82.379584,MDR MED DENSITY RESIDENT,INVERNESS HIGHLANDS UNIT 1,472
4480 State Hwy,Rockwall,TX,75032,Rockwall,32.906671,-96.380948,Unknown,Not available,473
298 S Delsea Dr,Vineland,NJ,8360,Cumberland,39.482485,-75.044213,Unknown,Not available,474
118 Joshua Norman Dr,New Bern,NC,28562,Craven,35.058144,-77.031854,Unknown,CREEKSIDE VILLAGE,475
1078 W 10th St,San Pedro,CA,90731,Los Angeles,33.735401,-118.300849,LARD1.5,VISTA DEL ORO,476
4917 Inglewood Ct,College Station,TX,77845,Brazos,30.5637,-96.236506,Unknown,PEBBLE CREEK PH 1F,477
12400 Coit Rd,Dallas,TX,75251,Dallas,32.917737,-96.76883,Unknown,Not available,478
PO Box 914,Mississippi State,MS,39762,Oktibbeha,33.457029,-88.794413,Unknown,Not available,479
5640 Ne Trieste Way,Boca Raton,FL,33487,Palm Beach,26.399797,-80.074431,Unknown,TRIESTE AT BOCA,480
1975 E University Dr,Tempe,AZ,85281,Maricopa,33.420816,-111.901357,Unknown,Not available,481
2609 Suntree Ln,Plano,TX,75025,Collin,33.081515,-96.746447,SFR,HUNTERS GLEN ELEVEN (CPL),482
3218 Veterans Memorial Pkwy,Tuscaloosa,AL,35404,Tuscaloosa,33.197988,-87.494413,R3,TRADITIONS,483
3647 Sw 52nd Pl,Portland,OR,97221,Multnomah,45.496713,-122.729942,Unknown,Not available,484
301 Noble Oaks Dr,Savannah,GA,31406,Chatham,32.008555,-81.104145,Unknown,Not available,485
14041 Locust Streetunit 305,Westminster,CA,92683,Orange,33.758476,-118.005577,Unknown,Not available,486
1457 Williamsburg Rd,Flint,MI,48507,Genesee,42.962994,-83.709713,Unknown,VAN SLYKE MANOR 3,487
806 E Pierce Ave,Mcalester,OK,74501,Pittsburg,34.9437,-95.753264,Unknown,SOUTH MCALESTER,488
12701 Shaker Blvd,Cleveland,OH,44120,Cuyahoga,41.484364,-81.593709,Unknown,Not available,489
83 Countryside Ln,Norwood,MA,2062,Norfolk,42.177114,-71.226863,Unknown,Not available,490
100 Davidson Dr,Terrell,TX,75160,Kaufman,32.752967,-96.287041,Unknown,ALICE STALLINGS,491
813 S 6th St,Smithfield,NC,27577,Johnston,35.499888,-78.346744,Unknown,Not available,492
6641 Quakertown Ave,Winnetka,CA,91306,Los Angeles,34.191315,-118.57018,LAR1,17755,493
12 Morgan Dr,Leechburg,PA,15656,Armstrong,40.633839,-79.598407,RESIDENTIAL,Not available,494
341 Zola Ave,Roseville,CA,95678,Placer,38.750498,-121.271054,R1,ROSEVILLE GREENS,495
20290 Westpointe Ct,Southfield,MI,48076,Oakland,42.489946,-83.244357,R-2,EVERGREEN TRAIL SUBN,496
24 Tanner Woods Ln,Greensboro,NC,27410,Guilford,36.127762,-79.885998,CU-RM-5,TANNER WOODS SUB PH 1 MAP 4,497
330 Olde Hickory Rd,Mount Wolf,PA,17347,York,40.027496,-76.69841,AG,SHERMAN OAKS PHASE II,498
960 Marbury Ct SW,Marietta,GA,30064,Cobb,33.929062,-84.581026,Unknown,CHARLTON FORGE,499
101 Forest Ridge Ct,Goose Creek,SC,29445,Berkeley,32.999864,-80.061144,GOOSE CREEK - PD,CROWFIELD (HUNTERS WOOD),500
